155,189900,6/30/2018,Price Changed
155,199000,5/16/2018,Price Changed
155,214900,1/5/2018,Listed
155,47500,3/15/2012,Sold
155,103500,11/18/2009,Sold
155,94900,10/27/2009,Listed
155,194000,11/16/2006,Listed
156,149900,1/23/2019,Price Changed
156,159900,11/30/2018,Price Changed
156,169900,11/1/2018,Listed
156,193000,7/10/2006,Sold
157,149900,2/8/2019,Price Changed
157,155000,12/11/2018,Relisted
157,160000,11/6/2018,Listed
157,149900,8/18/2015,Listed
157,144900,4/10/2015,Price Changed
157,149900,8/27/2014,Relisted
157,149900,7/29/2014,Price Changed
157,152900,6/16/2014,Price Changed
158,148000,11/28/2018,Listed
158,82000,2/4/1999,Sold
158,49000,7/26/1991,Sold
159,147000,1/21/2019,Relisted
159,147000,11/28/2018,Price Changed
159,150000,9/18/2018,Relisted
159,150000,8/7/2018,Listed
159,129000,2/13/2010,Relisted
159,129000,7/1/2009,Listed
159,129000,6/10/2008,Listed
159,125000,10/9/2003,Sold
161,159900,2/9/2019,Listed
161,60000,4/14/2015,Sold
161,54900,2/11/2015,Listed
161,65900,4/27/2010,Listed
162,159900,2/6/2019,Listed
162,325000,5/4/2005,Sold
163,159900,2/7/2019,Listed
163,104900,11/6/2012,Sold
163,104900,8/20/2012,Listed
164,159900,2/5/2019,Listed
164,76900,5/9/2012,Sold
164,75000,3/25/1994,Sold
164,76900,4/9/1993,Sold
164,77900,1/16/1993,Listed
165,159900,2/6/2019,Listed
165,133000,4/25/2014,Sold
165,135000,4/19/2014,Sold
165,135000,3/10/2014,Listed
166,160000,2/8/2019,Listed
166,117000,7/1/2016,Sold
166,120000,5/19/2016,Listed
167,155000,2/7/2019,Listed
167,148900,12/22/2004,Sold
167,99000,8/7/2000,Sold
167,79000,6/3/1999,Sold
167,69900,5/30/1990,Sold
168,159900,1/23/2019,Price Changed
168,169900,1/10/2019,Listed
169,159900,10/9/2018,Listed
169,38000,5/9/2013,Sold
169,32300,4/23/2013,Price Changed
169,37100,1/11/2013,Relisted
169,37100,12/11/2012,Relisted
169,158800,12/14/2006,Sold
169,129900,10/3/2001,Sold
169,72000,6/23/1998,Sold
170,161200,1/17/2019,Listed
170,150000,5/3/2018,Price Changed
170,275000,4/13/2018,Relisted
170,175000,4/10/2018,Listed
170,206000,4/13/2006,Sold
170,206000,3/3/2006,Sold
170,202900,9/23/2005,Listed
170,119900,1/12/2000,Sold
171,160000,1/8/2019,Listed
171,172500,3/24/2006,Sold
172,155000,1/17/2019,Listed
173,158000,1/24/2019,Listed
174,160000,1/30/2019,Listed
174,87950,12/18/2018,Sold
174,87950,6/23/2016,Sold
174,62000,8/26/2013,Sold
174,64900,7/18/2013,Sold
174,64900,6/14/2013,Listed
174,139900,8/10/2004,Sold
174,70000,3/17/2004,Sold
175,159900,1/15/2019,Price Changed
175,169900,1/4/2019,Listed
175,24000,6/11/2008,Sold
175,140000,4/6/2006,Sold
175,45000,2/7/1997,Sold
176,156900,1/8/2019,Listed
176,138000,11/30/2017,Sold
176,19999,9/19/2010,Listed
177,160000,1/30/2019,Relisted
177,160000,11/16/2018,Listed
178,159900,10/6/2018,Listed
178,157500,2/5/2004,Sold
178,109500,12/15/2000,Sold
178,65000,10/1/1996,Sold
179,160000,1/25/2019,Listed
179,89000,3/9/2010,Sold
179,165000,7/14/2006,Sold
180,160000,2/1/2019,Listed
180,117000,6/2/2008,Sold
181,155000,1/24/2019,Listed
181,146000,3/2/2004,Sold
182,156900,1/8/2019,Listed
182,159900,11/21/2018,Listed
183,159950,1/28/2019,Price Changed
183,163000,11/5/2018,Price Changed
183,164000,10/11/2018,Listed
183,169900,6/22/2018,Listed
183,145500,2/28/2014,Price Changed
183,146000,2/12/2014,Price Changed
183,147500,12/3/2013,Price Changed
183,152500,10/31/2013,Listed
185,159900,2/6/2019,Price Changed
185,147900,12/13/2018,Listed
185,32000,5/12/2011,Sold
185,90000,2/21/2006,Sold
186,159900,1/31/2019,Price Changed
186,164900,11/26/2018,Price Changed
186,169900,10/10/2018,Listed
186,138261,10/2/2008,Sold
186,135500,2/6/2001,Sold
186,139900,9/28/2000,Listed
186,102000,9/8/1999,Sold
187,160000,1/21/2019,Listed
187,103000,2/27/2009,Sold
187,119900,3/19/2008,Listed
188,159900,1/21/2019,Listed
188,159900,11/2/2018,Price Changed
188,164900,10/6/2018,Listed
188,48000,2/17/2010,Sold
188,57500,12/16/2009,Relisted
188,69615,11/13/2009,Price Changed
188,81900,11/8/2009,Price Changed
188,89900,9/25/2009,Price Changed
189,157000,1/4/2019,Listed
189,154000,11/16/2018,Price Changed
189,158965,10/25/2018,Listed
189,159865,10/11/2018,Listed
189,164865,10/10/2018,Relisted
189,164865,10/2/2018,Price Changed
189,169865,9/20/2018,Listed
189,174865,9/17/2018,Price Changed
190,155000,1/25/2019,Listed
190,92000,6/26/2000,Sold
190,40255,11/30/1995,Sold
191,155000,1/17/2019,Listed
191,150000,1/6/2019,Price Changed
191,159900,10/9/2018,Listed
191,159900,10/5/2018,Price Changed
191,163900,9/6/2018,Listed
191,30000,11/6/2008,Sold
191,202000,4/28/2005,Sold
191,141000,3/18/2005,Sold
192,160000,2/1/2019,Listed
192,138000,3/11/2016,Sold
192,140000,2/25/2016,Sold
192,140000,1/25/2016,Listed
192,110000,10/6/2009,Sold
192,117900,6/26/2009,Price Changed
192,125000,4/4/2009,Price Changed
192,135000,3/3/2009,Listed
193,155000,1/21/2019,Listed
193,60000,1/24/2014,Relisted
193,60000,10/7/2013,Listed
193,60000,10/7/2013,Listed
193,38000,6/26/2013,Sold
193,32900,6/6/2013,Sold
193,39900,3/7/2013,Listed
194,155000,12/17/2018,Listed
195,159900,12/18/2018,Listed
196,159900,1/31/2019,Listed
197,155000,1/23/2019,Listed
197,89000,5/16/2014,Sold
197,92900,3/20/2014,Listed
197,86500,2/24/2010,Sold
197,89900,10/26/2009,Listed
197,99000,12/19/2000,Sold
197,98900,12/6/2000,Sold
197,78500,6/22/2000,Sold
198,159900,12/27/2018,Listed
198,147600,9/17/2004,Sold
198,105000,3/5/2001,Sold
199,160000,1/29/2019,Relisted
199,160000,1/7/2019,Listed
199,150000,6/7/2004,Sold
200,159900,1/15/2019,Relisted
200,159900,1/4/2019,Listed
200,64900,6/29/2009,Sold
200,64900,3/27/2009,Listed
200,160000,12/14/2004,Sold
201,159900,12/14/2018,Listed
201,157500,1/21/2004,Sold
202,155000,1/11/2019,Listed
202,156600,11/1/2005,Sold
203,160000,1/4/2019,Listed
205,160000,11/13/2018,Listed
206,158100,1/24/2019,Price Changed
206,164400,1/16/2019,Relisted
206,164400,1/8/2019,Relisted
206,180500,11/30/2018,Relisted
206,180500,11/20/2018,Relisted
206,180500,11/9/2018,Listed
206,125000,7/17/2017,Listed
207,157500,1/31/2019,Price Changed
207,160000,10/2/2018,Listed
207,152000,11/16/2017,Sold
207,152000,11/15/2017,Listed
207,126000,3/21/2006,Sold
207,58500,7/1/1993,Sold
208,160000,9/24/2018,Listed
208,164500,6/10/2005,Sold
208,129900,7/3/2002,Sold
209,155000,10/2/2018,Listed
210,159900,1/21/2019,Relisted
210,159900,11/8/2018,Listed
211,165000,2/12/2019,Listed
211,70000,10/27/2014,Sold
211,86000,9/9/2014,Listed
212,164900,2/11/2019,Listed
212,187500,10/25/2007,Sold
